year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,1,HAWAII,"ABERCROMBIE, NEIL",0,0,0,0,0,0,HI,12,9,0,7,0,1,6/26/38,58,0.569999993,46389,0.50001508,0.290962785,0.81400001,0.266000003,0.997949898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,90,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1997-1998,105,1,5,NEW YOR,"ACKERMAN, GARY L.",1,2,3,1,0.333333343,4,NY,33,2,0,15,0,1,11/19/42,54,0.600000024,57915,0.528344572,0.840148032,0.838999987,0.34799999,0.993443489,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,88,5,90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1997-1998,105,2,4,ALABAMA,"ADERHOLT, ROBERT B.",0,0,0,0,0,1,AL,1,6,1,1,0,1,7/22/65,31,0.430000007,25401,0.529169321,0.925178468,0.577000022,0.081,0.341950387,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,1,MAINE,"ALLEN, THOMAS H.",2,0,2,1,1,1,ME,20,1,0,1,0,1,4/16/45,51,0.519999981,36067,0.525214076,0.985151291,0.816999972,0.223999992,0.489465594,NA,NA,NA,NA,NA,0.579999983,0.239999995,0.02,0.029999999,0.200000003,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,1,NEW JER,"ANDREWS, ROBERT E.",2,0,2,1,1,1,NJ,31,2,0,7,0,1,8/4/57,39,0.589999974,40674,0.529127657,0.78356123,0.741999984,0.169,0.960758805,0.555555582,0.377192974,0.164750963,0.572992682,0.70714283,0.310000002,0.370000005,0.02,0.090000004,0.200000003,100,6,90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1997-1998,105,2,7,TEXAS,"ARCHER, W.R.",3,4,7,1,0.428571433,2,TX,44,7,1,27,0,1,3/22/28,68,0.280000001,51258,0.512625277,0.833415449,0.900999963,0.407000005,0.958093822,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,26,TEXAS,"ARMEY, RICHARD K.",1,4,5,1,0.200000003,1,TX,44,7,1,13,0,1,7/7/40,56,0.300000012,48733,0.510026097,0.871236622,0.883000016,0.370000005,0.953637898,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,6,ALABAMA,"BACHUS, SPENCER",2,3,5,1,0.400000006,1,AL,1,6,1,5,0,1,12/28/47,49,0.270000011,38768,0.529364109,0.897009134,0.789000034,0.262999982,0.772473872,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,90,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1997-1998,105,1,6,KENTUCK,"BAESLER, SCOTTY",1,1,2,1,0.5,1,KY,18,6,0,5,0,1,9/9/41,55,0.460000008,30482,0.529059112,0.907475531,0.699999988,0.199000001,0.630662441,0.200000003,NA,0,0.8125,0.600000024,0.610000014,0.140000001,0.01,0.050000001,0.189999998,75,45,55,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
1997-1998,105,2,6,LOUISIA,"BAKER, RICHARD H.",1,1,2,1,0.5,1,LA,19,7,1,11,0,1,5/22/48,48,0.5,29808,0.516373038,0.834334671,0.751999974,0.199000001,0.546012819,0.18699187,0.397260278,0.50515461,0.724409461,0.493670881,0.519999981,0.280000001,0,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
